Title,Category,Directions
Spicy Fruit and Nut Cake*,Cakes,"Bake in greased and floured 9"" bundt pan at 350 degrees for 45-50 minutes.  Cool 15 minutes.  Loosen around edges with thin spatula.  Pierce with a wooden pick.  Glaze directions:  Cook glaze ingredients over medium heat until full boil and butter melts.  Ladle glaze over cake."
Strawberry Spice Loaf,Cakes,"Bake in two 9"" loaf pans, greased and floured, at 350 degrees for one hour."
Three Layer Chocolate Mayonnaise Cake,Cakes,"Grease three 9"" layer pans, one with waxed paper.  Sift dry ingredients into large bowl.  Stir in mayonnaise.  Stir in water and vanilla until smooth.  Pour into pans.  Bake at 350 degrees for 30 minutes.  Cool.  Frost with chocolate frosting."
Two Layer Chocolate Mayonnaise Cake,Cakes,"Grease two 9"" layer pans, line with waxed paper.  Sift dry ingredients into large bowl.  Stir in mayonnaise.  Stir in water and vanilla until smooth.  Pour into pans.  Bake at 350 degrees for 30 minutes.  Cool.  Frost with chocolate frosting."
Upside Down Cake,Cakes,"Melt butter in oven-proof skillet.  Add brown sugar.  Arrange fruit in pan.  To make cake batter, beat eggs about 5 minutes until thick and lemon colored.  Gradually add sugar.  Then add all at once fruit juice an vanilla.  Sift together and beat in flour, baking powder, and salt.  Pour batter over fruit an bake until done, about 45 minutes at 350 degrees."
Blue Chip Cookies,Cookies,Mix at low speed.  Add chocolate chips and nuts by hand.  Press into balls in cookie scoop.  Bake at 300 degrees for 15 minutes on middle rack.
Bourbon Balls,Cookies,"Melt chocolate in double boiler over hot water.  Combine syrup and liquid.  Combine crumbs, sugar, and nuts.  Add chocolate mixture.  Let stand 30 minutes.  Shape in 1"" balls.  Roll in granulated or powdered sugar.  Let ripen i covered container at lest 3 days."
Chocolate Crisp Bran Cookies,Cookies,"Sift flour, soda, and salt.  Blend butter and sugar.  Add eggs and vanilla; beat well.  Add All-Bran cereal and chocolate chips.  Add dry ingredients, mix well.  Drop by spoonful onto cookie sheet.  Bake at 375 degrees about 12 minutes."
Chocolate Peanut Brunch Bars,Cookies,Blend first 5 ingredients until it resembles corn meal.  Add egg and vanilla.  Mix well.  Press firmly into ungreased jelly roll pan.  Bake at 350 degrees for 25 minutes.  Cool slightly.  Melt chocolate over hot water.  Stir in peanut butter and cereal.  Spread on cookie dough.  Let stand until chocolate sets.  Cut into 35 bars.
Chocolate Trio Squares*,Cookies,"Cream butter, mis in four, and salt.  Spread in greased and floured 9"" pan.  Bake 15 minutes at 350 degrees.  Beat eggs and sugar until smooth. Stir in all other ingredients and blend well.  Spread over first layer.  Bake 350 degrees for 15 minutes.  Cool in pan.

Melt chocolate.  Blend in syrup and water,  Spread over cookies.  Sprinkle on nuts.  Leave in pan overnight.  Cut into 36 squares."
Christmas Logs,Cookies,"Preheat oven to 350 degrees.  Put walnuts and dates through coarse blade of grinder.  Combine with 1 1/2 cup coconut, sugar, and eggs.  Mix well.  Shape by spoonfuls into 3"" logs, 3/4"" wide.  Roll in rest of coconut, coating well.  Bake 10-12 minutes until golden.  Cool.  Makes 30 logs."
Christmas Snowballs,Cookies,"Combine first 5 ingredients.  Blend well.  Stir in flour, chocolate chips, and nuts.  Form 1"" balls.   Place on ungreased cookie sheet.  Bake 30 minutes at 350 degrees. Roll in powdered sugar while still warm. Makes approx. 5 dozen."
Crisp Oatmeal Fruit Strips,Cookies,"Beat butter and sugar together until fluffy; beat in egg.  Stir flour with soda, then stir into creamed mixture with raisins and rolled oats.  Mix well.  Divide dough into 15 equal portions.  Place 3 or 4 portions each on ungreased 12"" by 15"" baking sheet.  Pinch dough to shape 8"" ropes and place at least 2 inches apart.  Flatten each rope into a 2"" wide strip.  Bake in a 30 degree oven until golden brown, about 10 minutes.  Let cool on pan about 2 minutes, then cut each strip diagonally into 1 inch wide bars.  Let cookies cool on pan then transfer from pan with a wide spatula.  Store in an airtight container at room temperature up to 2 weeks.  Makes about 12 dozen."
Frosted Delights,Cookies,"Sift flour, salt and baking powder together.  Cream shortening with sugar until fluffy.  Add eggs, vanilla and sifted ingredients and mix well.  Spread batter very thin on baking sheets.  Fold brown sugar into egg whites, add nuts.  Spread over cookie batter.  Bake at 325 degrees for 30 minutes.  Cut into squares.  Makes 30."
Ginger Snap Bars,Cookies,"Mix first four ingredients.  Add dry ingredients with milk.  Mix well.  Add nuts.  Pour into greased 9"" square pan.  Bake at 350 degrees for 35 to 40 minutes.  Cool in pan.  Cut into 24 bars, roll in powdered sugar."
 Ginger Snaps,Cookies,Roll in little balls.  Dip in sugar and flatten with glass dipped in water.  Bake at 350 degrees about 7 minutes.
Honey Graham Crackers,Cookies,"Stir all ingredients about 3 minutes to mix well.  Divide in half.  Place each half on 17""x14"" baking sheet.  Flatten and roll to 12"" x 10"" rectangle, dusting with flour to prevent sticking.  Cut into 2"" squares.  Prick with fork.Bake at 425 degrees for 8-10 minutes until lightly browned.  Cut apart while hot.  Cool on baking sheet.  Makes 60.  50 calories each."
Jello Pastel Cookies,Cookies,"Mix shortening, sugar, gelatin, eggs, and vanilla.  Blend in dry ingredients.  Roll into 3/4"" balls.  Place 3"" apart on a cookie sheet.  Flatten each with the bottom of a glass dipped in sugar.  Bake 6-8 minutes at 375 degrees.  Makes 4 dozen."
Lemon Squares,Cookies,"Mix first 3 ingredients well.  Press into 8""x8""x2"" pan.  Build up 1/2"" edge.  Bake 20 minutes at 350 degrees.  Beat remaining 6 ingredients until light and fluffy.  Pour over hot crust.  Bake another 25 minutes.  Cool.  Dust with the powdered sugar.  Cut into squares."
Minties,Cookies,"Beat eggs until thick and foamy.  Gradually add sugar and continue to beat.  Soften mint jelly with a fork and add oil.  Mix well.  Add the flour, baking powder, and salt.  Spread mixture in a 9""x13"" pan that is oiled.  Bake at 350 degrees for 25 minutes.  Frost with mint frosting:  Cream 1/4 cup margarine.  Add 1/2 cup mint jelly.  Blend.  Add 2 cups sifted powdered sugar.  Mix Well.  Cut into 32 bars."
Oatmeal Cookies,Cookies,Mix ingredients in the order given.  Drop by teaspoonful onto a cookie sheet.  Bake 8-10 minutes at 350 degrees.
Oatmeal Fudge Bars*,Cookies,"Oatmeal Layer:  Grease 9""x9"" baking pan.  Beat shortening with sugar until fluffy.  Beat in egg and vanilla.  Sift flour with soda and salt into sugar mixture.  Mix well.  Stir in oats and nuts.  Remove 1 cup for topping.  Press the rest of the mixture evenly into the bottom of the pan.

Fudge Layer:  Preheat oven to 350 degrees. In small sauce pan combine chocolate chips butter, milk, and salt.  Cook over low heat, stirring until chocolate and butter are melted.  Remove from the heat.  Stir in nuts and vanilla.  Spread chocolate mixture over oatmeal layer.  Sprinkle top with reserved oatmeal mixture.  Bake 25 minutes or until topping is lightly browned."
Peanut Butter Cookies,Cookies,Form into balls.  Flatten with fork dipped in flour or sugar. Bake for 8 minutes at 375 degrees.
Pineapple Graham Bars,Cookies,"Preheat oven to 350 degrees.  Lightly grease 8""x8""x2"" pan.  Mix butter with sugar until light.  Beat in egg.  Stir in flour, graham cracker crumbs, pineapple, and walnuts.  Bake 30-35 minutes or until browned and surface is firm to the touch.  Let cool completely in plan. Cut into 20 bars."
Prune Nut Bars,Cookies,"Cook Prunes - drain and chop.  Mix margarine, sugar and 1 cup of four.  Press into 9"" square pan.  Bake at 350 degrees for 25 minutes.   Sift remaining 1/3 cup flour with baking powder and salt.  Beat brown sugar into eggs, lemon and vanilla.  Add flour, mix well.  Add prunes, nuts, and coconut.  Spread over baked bars.  Bake at 350 degrees for 30-35 minutes.  Cool.  Cut into 24 bars.  Roll in confectioner's sugar.  "
Pumpkin Oatmeal Cookies,Cookies,"Mix eggs, sugar, oil, spices, and pumpkin.  Add oats, soda, salt nuts, and raisins.  Mix well.  Add flour, 1/2 at a time.  Drop by teaspoons on ungreased cookie sheet.  (These will not spread.)  Bake 10 minutes at 325 degrees.  Remove from pan.  Store in tightly sealed container."
Snickerdoodles,Cookies,Mix first 7 ingredients.  Roll in balls.  Dip in mixture of cinnamon and sugar.  Bake for 8-10 minutes at 375 degrees.  Makes 4 dozen.
Soft Sugar Cookies,Cookies,"Cream butter.  Add sugar gradually while continuing to cream.  Ad eggs one at a time, beating well after each.  Add vanilla.  Beat until light and fluffy.  Add mixed dry ingredients, alternately with sour cream; begin and end with dry ingredients.  For 3 inch cookies drop by heaping teaspoons.  With spatula flatten into circles about 2 inch wide.  Sprinkle with sugar and cinnamon.  Bake in hot oven - 400 degrees for 10-20 minutes.  Makes about thirty - 3 inch cookies."
Thumbprint Cookies,Cookies,Mix first 5 ingredients.  Add flour.  Roll into ball.   Make a thumbprint in each ball.  Cook 8-10 minutes at 350 degrees.  Fill with jelly or chopped nuts. 
Walnut Squares,Cookies,"Cream butter and sugar.  Beat in egg yolk.  Sift four and spice, add to creamed mixture.  Spread dough in 15""x10""x1"" jelly roll pan.  Press flat with hands.  Beat egg white slightly, brush on dough.  Sprinkle nuts on top and press into dough.  Bake in 250 degree oven for 1 hour.  While hot cut into 1 1/2"" squares.  Cool.  Makes about 70."
Banana Cream Pie,Pies,"In a heavy saucepan dissolve cornstarch inwater; stir in sweetened condensed milk and egg yolks.  Cook and stir until thickened and bubbly.  Remove from heat; add margarine and vanilla.  Cool slightly.  Slice 2 bananas; dip in lemon juice and drain.  Arrange on bottom of prepare crust.  Pour filling over bananas; cover.  Chill 4 hours or until set.  Spread top with whipped cream.  Slice remaining bananas; dip in lemon juice, drain and garnish top of pie.  Refrigerate leftovers."
Creamy Apple Pie,Pies,"Place apples in the pie shell.  Mix together sugar, flour, and salt.  Sprinkle over apples.  in a sauce pan bring cream to boiling point.  Pour over apples.  Sprinkle generously with cinnamon.  Bake at 375 degrees for 45 minutes, until firm."
Dutch Apple Pie,Pies,"Combine apples, 1/2 cup sugar, and cinnamon.  Put into the unbaked pie shell.  Top with 1/2 cup sugar, flour, butter, and cinnamon.  Bake 45-50 minutes at 350 degrees."
Fresh Strawberry Pie,Pies,Slice 1 basket of strawberries.  Put half the berries in the bottom of a baked pie shell. Prepare glaze by combining remaining ingredients and cooking in a double-boiler until thickened.   Stir the other half of the berries into the glaze.  Pour into the shell.  Cool.  Top with whipped cream and halved berries.
Lemon Cloud Pie,Pies,"Combine in sauce pan 3/4 cup sugar, cornstarch, water, lemon rind, and juice, and slightly beaten egg yolk.  Cook over medium heat stirring constantly until thick.  Remove from heat.  Add softened cheese, blend well.  Cool.  Beat egg whites until stiff.  Add 1/4 sugar.  Fold into lemon mixture.  Spoon into crust.  Chill 2 hours.  Serve with whipped cream.  "
Lemon Luscious Pie,Pies,"Combine sugar, cornstarch, butter, lemon rind, and egg yolk in saucepan.  Stir in milk.  Cook over medium heat, stirring until mixture thickens.  Cool.  Fold in sour cream.  Spoon into pie shell.  Col 12 hours or longer.  Top with whipped cream.  Garnish with chopped walnuts if desired.  "
Lemon Meringue Pie,Pies,"Mix sugar, cornstarch, and salt in top of double boiler.  Place over boiling water and add remaining ingredients.  Cook until thick, stirring with whip.  Put into baked pie shell.  Top with meringue.  To make meringue whip 3 egg whites until stiff.  Add 1/4 cup sugar.  Brown 5 to 10 minutes in 400 degree oven.  Chill.  "
Old Fashioned Apple Pie,Pies,Combine first 4 ingredients.  Put in unbaked pie shell.  Slice butter on top. Cover with top crust.  Bake at 350 degrees for 1 hour.
Peach Almond Pie,Pies,"Sprinkle peaches with lemon and sugar.  Let stand 1 hour.  Drain to get 1 cup syrup.  Add cornstarch to syrup and blend.  Cook over low heat until thick.  Remove from heat.  Add butter, salt, and almond extract.  Cool.  Carefully stir in peaches.  Put in shell.  Chill.  Serve with whipped cream, topped with slivered almonds and marachino cherries."
Peach Parfait Pie,Pies,Dissolve gelatin in hot water.  At once add 1/4 of ice cream and stir until blended.  Repeat until all of ice cream is added.  Chill until almost firm.  Mix peaches with sugar and fold into mixture.  Pour into baked shell and chill unit firm.  Whip cream and spread on pie.
Peanut Butter Ice Cream Pie,Pies,"Mix graham cracker crumbs, sugar, and melted margarine.  Press into 9"" pie pan.  Chill.  To make filling whip 1/2 cup whipping cream.  Place ice cream in a bowl and stir to soften.  Fold in peanut butter; then fold in whipped cream.  Spoon mixture into crust.  Freeze about 5 hours.  Remove from freezer about 15 minutes before serving."
Peanut Butter Pie,Pies,Combine first 5 ingredients.  Mix thoroughly.  Pour into pie shell.  Bake at 350 degrees for 15 minutes.  Reduce heat to 350 degrees and bake for 30 to 35 minutes.  It should appear less set in the center.  Chill.  Top with whipped cream.
Pie Crust,Pies,"Mix flour, salt, and shortening.  Stir in water enough to bind mixture together to form soft dough.  Makes two 9"" pie crusts or 1 double crust.  For double crust pie bake at 350 degrees for 1 hour.  For pie shell bake at 400 degrees for 10 minutes."
Sour Cream Raisin Pie,Pies,"Boil raisins in water until plump.  Add flour and sugar.  Cook to thicken slightly then add egg yolks, sour cream, vanilla and nutmeg.  Pour into 9"" bottom crust.  Add top crust.  Sprinkle with sugar.  Bake 50 minutes at 350 degrees. "
Walnut Pie,Pies,Mix well.  Pour into unbaked pie shell.  Top with 1 cup walnuts or pecans.  Bake at 350 degrees for 1 hour.
Walnut-Raisin pie,Pies,"Mix sugar and butter.  Add eggs one at a time, beating after each is added.  Add raisins nuts, and vanilla. Pour into unbaked pie shell.  Bake at 400 degrees for 10 minutes.  Reduce heat to 375 degrees for 30 minutes."
Angel Hash,Pies,"Cook cornstarch, sugar, pineapple juice, and egg yolks until thick.  Cool and fold in remaining ingredients.  "
Blue Cheese Dressing,Salads and Dressings,Mix or shake well.
Broccoli Salad,Salads and Dressings,Pour dressing over salad two hours before serving.
Broccoli Salad with Pineapple,Salads and Dressings,"Cut broccoli flowers.  Chop the top 2 inches of the stems into small pieces.  Mix together broccoli, crisp bacon, drained pineapple, onion, and sunflower seeds.  Blend mayonnaise, sugar, and vinegar to make dressing.  Pour over top of broccoli mixture.  Toss and serve.  Note:  This salad is also great with sliced raw carrots and cauliflower."
Carrot Carousel,Salads and Dressings,"Sprinkle gelatine over 1/2 cup of cold orange juice in blender container that will hold 5 cups.  Add boiling orange juice; cover and process at low speed until gelatin dissolves.  Add remaining 1 cup cold orange juice, salt, and salad dressing; process until well blended.  Add carrot pieces; cover and turn to high speed, on and off several times until carrots are finely grated.  Stir in pineapple and syrup; pour into 6 cup mold.  Chill until firm."
Coleslaw,Salads and Dressings,Shred cabbage.  Mix remaining ingredients to make dressing.  Stir together.
Cranberry Mold,Salads and Dressings,"Mix jello with hot water.  Jell slightly then add cranberry sauce, sour cream, and nuts.  Mix and chill until set."
Cucumbers in Sour Cream,Salads and Dressings,Stir together.  Refrigerate 30 minutes.
Five Bean Salad,Salads and Dressings,Drain beans and stir together.  Mix ingredients for dressing.  Combine dressing and beans.
Five Cup Salad,Salads and Dressings,Combine all ingredients.  Chill overnight.
Garden Vegetable Pasta,Salads and Dressings,"Cut vegetables into birte size pieces.  Cook 5 minutes, until fork tender.  Rinse with cold water.  Cook and chill pasta.  Toss all with Italian Dressing."
Green Bean Salad,Salads and Dressings,"Mix oil, vinegar, onion, and lemon.  Pour over beans.  Chill 3 hour or longer.  Spoon beans onto lettuce with slotted spoon.  Top with crumbled blue cheese and coarsely chopped walnuts"
Heavenly Cheese Salad,Salads and Dressings,"Bring juice to a boil, pour over jello.  Cool.  Mix pineapple, nuts, and cheese.  Add to jello.  Fold in whipped cream.  Pour into mold.  Chill."
Horseradish Dressing,Salads and Dressings,Combine all ingredients in blender or food processor.
Lemon Cloud Salad,Salads and Dressings,Set jello with 1/2 c. less water than package instructions.  When partially set stir in Dream Whip.  Add fruits.  Set several hours to chill.
Lima Bean Salad,Salads and Dressings,"Thoroughly mix vinegar, vegetable oil, and salt.  Cook beans until tender, drain and rinse under cold water.  Add other ingredients and toss.  Chill in refrigerator for 1-2 hours."
Pea Salad,Salads and Dressings,Stir together and enjoy.
Spinach Salad,Salads and Dressings,"Mix spinach and thinly sliced onion.  Fry bacon until crisp, drain.  To drippings add vinegar, water, sugar, and salt.  Bring to a boil.  Beat egg until light.  Add sour cream.  Pour boiling liquid over egg then pour back in skillet.  Cook over low heat until thick.  Pour over spinach, add bacon and chopped egg.  Toss lightly."
Spinach Salad with Avocado,Salads and Dressings,"Clean spinach.  Tear for salad.  Cut avocado in small pieces.  Sprinkle with lemon.  Slice onion as thin as possible.  Combine spinach, avocado, onion, and oranges.  Mix remaining ingredients to make dressing.  Pour dressing over salad.  Sprinkle on bacon bits."
Spinach Salad with Alfalfa Sprouts,Salads and Dressings,"Mix dressing ingredients:  mayonnaise, catsup, lemon juice, and sugar.  Combine remaining ingredients.  Toss with dressing."
Summer Fruit Salad,Salads and Dressings,Combine all ingredients.  Cover and chill several hours or overnight.
Top Ramen Salad,Salads and Dressings,"Mix Ramen seasoning packet with oil, vinegar, and sugar.  pour over mixture of salad greens, red onion, and peas.  Add crushed Ramen noodles."
Zucchini Apple Slaw,Salads and Dressings,Mix together.  Put on crisp lettuce.  Top with dressing.
Broccoli Cheese Soup,Soup,"Place potato, broccoli (reserve 2 cups), carrots, garlic, onion, salt, and water in large saucepan.  Bring to boil, then simmer until all vegetables are very tender.  Puree in blender or food processor, and transfer to kettle or dutch oven.  Steam reserved broccoli pieces until just tender.  Add to puree along with all remaining ingredients.  Heat gently.  Serve topped with additional grated cheddar cheese."
Chicken Noodle Soup,Soup,"Boil chicken, remove from bones and chop.  Set aside.  Cook potato, carrots, celery, and onion in water to cover.  When tender add the chicken, bouillon cubes, poultry seasoning, and salt.  Add a large handful of narrow egg noodles.  Add more liquid if necessary and cook until noodles are tender."
Cleo's Clam Chowder,Soup,"Boil potatoes.  Save water.  When potatoes are tender add bacon, onion, and celery.  Add half and half, milk and seasonings.  Thicken with a cup of flour mixed with water.  Add to boiling soup.  Stir in clams, but not too soon or they will get tough."
Creamy Zucchini Mushroom Soup,Soup,"Combine zucchini, onion, garlic and butter in 2 qt. microwave-safe casserole.  Cover and microwave on high setting 5 to 7 minutes, stirring every 3 minutes, until vegetables are tender.  Place zucchini mixture in blender container; blend until smooth.  Return to casserole dish; add all remaining ingredients except sour cream, pepper and pine nuts.  Cover and microwave 5 to 6 minutes, or until heated through.  Stir in sour cream and season to taste with pepper.  Ladle into soup bowls and garnish with sprinkle of pine nuts.  Serve immediately."
Elephant Stew,Soup,"Cut elephant into bite-size pieces.  (Allow approximately 12 months.)  Add enough gravy to cover.  Cook over kerosene fire for 4 weeks at 463 degrees.  Makes 3,300 servings.  To extend recipe add rabbits, but only if necessary, as some people do not like to find hare in their stew."
Hungry Bear Vegetable Soup,Soup,"Brown the meat, then add all of the ingredients, except the cabbage. Cover with water and simmer for about an hour until veggies are tender.  Then add the chopped cabbage and simmer again for about a half hour.  Add more liquid if necessary."
Mexican Meatball Soup,Soup,Mix first 8 ingredients.  Shape into 1' balls.  Brown in small amount of oil.  Put remaining ingredients in a large pot.  Heat to boiling.  Add meatballs.  Cover and simmer 15 minutes.  Salt and pepper to taste.  Add rice and simmer 15 minutes.  Salt and pepper to taste.  Add rice and simmer 15 minutes.
Minestrone Soup,Soup,Brown hamburger and onions.  Add all other ingredients with enough water to cover.  Simmer two to three hours then add spaghetti and cook until tender.
Tortilla Soup,Soup,"Cut 3 thin slices from the lime; set aside.  Squeeze 1 tsp juice from remaining lime; set aside.  In 2-qt. saucepan over medium heat, in 1 tbsp hot oil, cook onion, cumin, oregano, and garlic until onion is tender.  Add broth, water, tomato, chiles, and reserved lime juice.  Heat to boiling.  Reduce heat to low and cook for 10 minutes.  Meanwhile, cut tortillas into thin strips.  In a 10-inch skillet heat 1/2 inch oil to 375 degree.  Fry tortilla strips, a few at a time until crisp.  Remove to paper towel to drain.  Place several tortilla strips in 3 bowls.  Ladle soup into bowls; sprinkle with cheese.  Top with reserved lime slices and lettuce.  Serve immediately."
